"","Year","App.","Taxon","Class","Importer","Exporter","Term","Unit","Purpose","Source","Exportation.type","Exportation.number"
"165",2020,"II","Caiman crocodilus fuscus","Reptilia","US","CO","skins","Not applied","T","C","Exported",600
"166",2020,"II","Caiman crocodilus fuscus","Reptilia","US","CO","tails","Not applied","T","C","Exported",600
"167",2020,"II","Caiman crocodilus yacare","Reptilia","MO","IT","leather products (small)","Not applied","T","W","Imported",317
"168",2020,"II","Operculicarya decaryi","Not applied","KR","MG","live","Not applied","T","A","Exported",2
"169",2020,"II","Operculicarya pachypus","Not applied","HK","MG","live","Not applied","T","A","Exported",1
"170",2020,"II","Operculicarya pachypus","Not applied","JP","MG","live","Not applied","T","A","Exported",180
"171",2020,"II","Operculicarya pachypus","Not applied","TW","MG","live","Not applied","T","A","Exported",8
"172",2020,"II","Pachypodium lamerei","Not applied","JP","MG","live","Not applied","T","A","Exported",5
"173",2020,"II","Pachypodium rosulatum","Not applied","HK","MG","live","Not applied","T","A","Exported",30
"174",2020,"II","Pachypodium rosulatum","Not applied","JP","MG","live","Not applied","T","A","Exported",80
"175",2020,"II","Pachypodium rosulatum","Not applied","TW","MG","live","Not applied","T","A","Exported",10
"176",2020,"II","Pachypodium rutenbergianum","Not applied","HK","MG","live","Not applied","T","A","Exported",40
"177",2020,"II","Boa constrictor","Reptilia","AZ","BY","live","Not applied","Z","C","Exported",5
"178",2020,"II","Boa constrictor","Reptilia","LB","BY","live","Not applied","T","C","Exported",100
"179",2020,"II","Boa constrictor","Reptilia","RU","BY","live","Not applied","B","C","Exported",6
"180",2020,"II","Boa constrictor","Reptilia","RU","BY","live","Not applied","Q","C","Exported",10
"181",2020,"II","Boa constrictor","Reptilia","RU","BY","live","Not applied","T","C","Exported",18
"182",2020,"II","Boa constrictor","Reptilia","US","CO","live","Not applied","T","C","Exported",700
"183",2020,"II","Calabaria reinhardtii","Reptilia","CA","CM","live","Not applied","T","W","Exported",8
"184",2020,"II","Calabaria reinhardtii","Reptilia","VN","CM","live","Not applied","T","W","Exported",30
"185",2020,"II","Epicrates cenchria","Reptilia","LB","BY","live","Not applied","T","C","Exported",10
"186",2020,"II","Epicrates cenchria","Reptilia","RU","BY","live","Not applied","B","C","Exported",5
"187",2020,"II","Cephalophus dorsalis","Mammalia","US","CM","trophies","Not applied","H","W","Exported",2
"188",2020,"II","Cephalophus dorsalis","Mammalia","ZA","CM","trophies","Not applied","H","W","Exported",1
